campus_partners,community_organizations
New College of Interdisciplinary Arts and Sciences,Diocese of Phoenix (attn: Kevin Starrs)
Social & Behavioral Sciences,Diocese of Phoenix (attn: Kevin Starrs)
New College of Interdisciplinary Arts and Sciences,Neighborhood Ministries
Social & Behavioral Sciences,Neighborhood Ministries
